Benchmarks,Committed Insts,Committed Insts Tainted,Committed Loads,Simulated Total Ops,Simulated SE ALU Operations,Simulated SE Encryptions,Simulated SE Decryptions
bubble-sort,302223257,190438201,92571908,606115849,217166562,13158600,32844812
distinctness,14243495,5212163,3972197,28288105,6022378,401076,1202541
edit-distance,335056329,114025010,103354110,675762113,130626293,5100000,24350000
eulers-number-approx,902125200,300000240,512401,1803710492,300000120,60,180
fft-int,596266602,179182036,166371568,1185574201,222233661,8023524,31974025
flood-fill,3700885,263233,975299,6757811,323601,17863,68447
gradient-descent,1075412168,752001760,431592510,2204779919,589000612,1000624,215000874
kadane,13236861,7210442,3515804,26818895,9558553,181877,1263360
kepler-calc,14851301,2591601,3841307,28401922,2934358,197950,452606
lda,14172098,276234,3873830,27282855,512051,40225,77992
mersenne,445672782,25173435,113565427,865858188,26218524,2937145,5375178
minspan,32569242,14477314,12445778,71942692,15771797,1010220,4474822
nonlinear-nn,1071277809,4400201,276948084,2060597952,13537338,900000,1200000
nr-solver,197101306,22226500,63251697,390692727,20500910,4574999,5576000
parrando,552913934,251046338,182450282,1147808975,339053607,7006082,48010107
rad-to-degree,1295970212,1841100,344653024,2498595292,1624500,216600,649800
shortest-path,33530021,4085949,9709509,67033082,4743598,324645,1088128
string-search,42972654,8765078,11462897,88206337,6065472,876768,3017079
string-search-optimized,40369647,13893317,11802083,77440895,17590831,494062,2316768
tea-cipher,4959425,717030,1068556,8657286,727581,11019,18037
triangle-count,22423445,7613515,10198687,51068929,2967408,2451858,2452838
