Benchmarks,EncIntAlu,EncIntDiv,EncIntMult,EncFPALU,EncFloatMult,EncFloatMultAcc,EncFloatDiv,EncFloatMisc,EncFloatSqrt,EncSIMDInst
bubble-sort,58906715,0,0,0,0,0,0,0,0,117862470
distinctness,1604507,0,0,0,0,0,0,0,0,4409282
edit-distance,46201025,0,0,0,0,0,0,0,0,74350168
eulers-number-approx,60,0,0,0,0,0,0,0,0,300000060
fft-int,82218016,0,4096000,0,0,0,0,0,0,141573636
flood-fill,91951,0,0,0,0,0,0,0,0,188095
gradient-descent,106000000,0,0,0,0,0,0,0,0,483000612
kadane,2885480,0,0,0,0,0,0,0,0,6670764
kepler-calc,1243529,0,0,0,0,0,0,0,0,1808861
lda,253820,0,0,0,0,0,0,0,0,207596
mersenne,19624131,0,1248000,0,0,0,0,0,0,2874793
minspan,5476026,0,0,0,0,0,0,0,0,9966245
nonlinear-nn,10500106,0,0,0,0,0,0,0,0,1500000
nr-solver,5524413,0,0,0,0,0,0,0,0,8075500
parrando,85014732,0,0,0,0,0,0,0,0,209035847
rad-to-degree,866400,0,0,0,0,0,0,0,0,758100
shortest-path,1926210,0,0,0,0,0,0,0,0,2817388
string-search,1553321,0,0,0,0,0,0,0,0,4512151
tea-cipher,684028,0,0,0,0,0,0,0,0,19020
triangle-count,2204502,0,0,0,0,0,0,0,0,764844
