Benchmarks,Committed Insts Tainted,Tainted Loads,Committed Loads,Simulated Total Ops
bubble-sort,150707201,216856600,230580544,744175485
distinctness,5211163,7617877,8779976,33090866
edit-distance,105350000,142475000,208379106,796112030
eulers-number-approx,300000240,930,513121,1803711212
fft-int,183700036,198368108,297026599,1328597328
flood-fill,251632,415251,1245672,7036004
gradient-descent,752001760,1079006578,1079597004,2852784626
kadane,7211441,7049569,7854955,31157031
kepler-calc,2942200,3852300,6994387,32439230
lda,281925,559693,4320463,27776783
mersenne,25627435,36626287,136506240,886759943
minspan,14376814,26464980,28931435,88408605
nonlinear-nn,4400000,8400000,280748173,2059598081
nr-solver,16701500,33505000,91604714,425020249
parrando,228047336,265076701,324497844,1198848765
rad-to-degree,1841100,4656900,347252224,2501194492
shortest-path,4085949,6593152,14025788,71440851
string-search,10320038,24225627,30414911,115015124
tea-cipher,714530,129090,1159717,8760950
triangle-count,7615015,22076042,24917211,65787454
