Benchmarks,EncIntAlu,EncIntDiv,EncIntMult,EncFPALU,EncFloatMult,EncFloatMultAcc,EncFloatDiv,EncFloatMisc,EncFloatSqrt,EncSIMDInst
bubble-sort,99304092,0,0,0,0,0,0,0,0,117862470
distinctness,1613096,0,0,0,0,0,0,0,0,4409282
edit-distance,47651125,0,0,0,0,0,0,0,0,82975168
eulers-number-approx,60,0,0,0,0,0,0,0,0,300000060
fft-int,80668177,0,4096000,0,0,0,0,0,0,140552146
flood-fill,135506,0,0,0,0,0,0,0,0,188095
gradient-descent,106000000,0,0,0,0,0,0,0,0,483000612
kadane,2887925,0,0,0,0,0,0,0,0,6670628
kepler-calc,1226289,0,0,0,0,0,0,0,0,1708069
lda,304476,0,0,0,0,0,0,0,0,207575
mersenne,23095731,0,1248000,0,0,0,0,0,0,1874793
minspan,5647554,0,0,0,0,0,0,0,0,10124243
nonlinear-nn,9458009,0,0,0,0,0,0,0,0,3200006
nr-solver,9174412,0,0,0,0,0,0,0,0,11326498
parrando,118017757,0,0,0,0,0,0,0,0,221035850
rad-to-degree,866400,0,0,0,0,0,0,0,0,758100
shortest-path,1926210,0,0,0,0,0,0,0,0,2817388
string-search,1553321,0,0,0,0,0,0,0,0,4512151
tea-cipher,708561,0,0,0,0,0,0,0,0,19020
triangle-count,2204564,0,0,0,0,0,0,0,0,762844
