Benchmarks,Final Ticks
bubble-sort,2813213200,
distinctness,2247161200,
edit-distance,68451197200,
eulers-number-approx,241155482000,
flood-fill,1215306800,
fft-int,129011058800,
gradient-descent,261637692800,
kadane,1742514800,
kepler-calc,1450877200,
lda,1386786800,
mersenne,145756812800,
minspan,4192482800,
mnist-cnn,53456364800,
nonlinear-nn,934201481200,
nr-solver,2709264800,
parrando,48990588800,
rad-to-degree,1144569408800,
shortest-path,10615938800,
string-search,6711426400,
tea-cipher,1959948800,
triangle-count,7000278800,
