Benchmarks,Final Ticks
bubble-sort,6511212400,
distinctness,32423886800,
edit-distance,338098787200,
eulers-number-approx,841358936000,
flood-fill,2609512400,
fft-int,520824845200,
gradient-descent,756643137600,
kadane,23518788800,
kepler-calc,2621916800,
lda,1613262800,
mersenne,206765583200,
minspan,61350036800,
mnist-cnn,538731119200,
nonlinear-nn,935881610000,
nr-solver,4299498800,
parrando,823631076800,
rad-to-degree,1152840744800,
shortest-path,27441348800,
string-search,82941544000,
tea-cipher,3434816000,
triangle-count,42194957200,
