Benchmarks,Final Ticks
bubble-sort,3779736800,
distinctness,6584208800,
edit-distance,132264288800,
eulers-number-approx,241265946800,
flood-fill,1816777600,
fft-int,202224570800,
gradient-descent,410939736800,
kadane,4837392800,
kepler-calc,2083158800,
lda,1488282800,
mersenne,164967552800,
minspan,16867206800,
mnist-cnn,372646718400,
nonlinear-nn,933837882800,
nr-solver,3203968800,
parrando,178424183200,
rad-to-degree,1145738730800,
shortest-path,13093602800,
string-search,24306362000,
tea-cipher,2158050800,
triangle-count,22509942800,
