Benchmarks,Final Ticks
bubble-sort,3511709200,
distinctness,6030804800,
edit-distance,116652930800,
eulers-number-approx,241265940800,
flood-fill,1704679600,
fft-int,184494372800,
gradient-descent,346137582800,
kadane,4471692800,
kepler-calc,2037288800,
lda,1485162800,
mersenne,164692842800,
minspan,13024164800,
mnist-cnn,262880651200,
nonlinear-nn,932871420800,
nr-solver,3147066800,
parrando,150182736800,
rad-to-degree,1145427894800,
shortest-path,12155940800,
string-search,20248133200,
tea-cipher,2134296800,
triangle-count,13519770800,
