Benchmarks,Final Ticks
bubble-sort,598576752800,
distinctness,28257306800,
edit-distance,317607756800,
eulers-number-approx,841358960000,
flood-fill,2422188000,
fft-int,499326642800,
gradient-descent,681441059200,
kadane,23154546800,
kepler-calc,2507466800,
lda,11750754400,
mersenne,198186225200,
minspan,51514482800,
mnist-cnn,395844089600,
nonlinear-nn,936462480800,
nr-solver,4186452800,
parrando,777746729200,
rad-to-degree,1152166602800,
shortest-path,26967312800,
string-search,75331277200,
tea-cipher,3433896400,
triangle-count,31532688800,
