Benchmarks,Final Ticks
bubble-sort,6254658800,
distinctness,28235513200,
edit-distance,293809764800,
eulers-number-approx,841358672000,
flood-fill,2265073600,
fft-int,489965120000,
gradient-descent,613636728800,
kadane,23150036000,
kepler-calc,2456574800,
lda,1600853200,
mersenne,190940730800,
minspan,49743798800,
mnist-cnn,189320477200,
nonlinear-nn,929294142800,
nr-solver,3997380800,
parrando,724610802800,
rad-to-degree,1151802666800,
shortest-path,26388216800,
string-search,67668074000,
tea-cipher,3403554400,
triangle-count,22648848800,
