Benchmarks,Final Ticks
bubble-sort,120487410400,
distinctness,6043212800,
edit-distance,113625371200,
eulers-number-approx,241265940800,
flood-fill,1716465200,
fft-int,182474081200,
gradient-descent,283336482800,
kadane,4470882800,
kepler-calc,1986828800,
lda,11074235200,
mersenne,162181350800,
minspan,12948552800,
mnist-cnn,158879663200,
nonlinear-nn,927891432800,
nr-solver,3047213200,
parrando,182866775200,
rad-to-degree,1146599976800,
shortest-path,12854958800,
string-search,16205822000,
tea-cipher,2113200800,
triangle-count,13526922800,
