Benchmarks,Final Ticks
bubble-sort,426874787200,
distinctness,14225106800,
edit-distance,223075220000,
eulers-number-approx,841361670800,
fft-int,438471102800,
flood-fill,2086568000,
gradient-descent,620037456800,
kadane,16450158800,
kepler-calc,11811384800,
lda,12535611600,
mersenne,184536534000,
minspan,37395852800,
nonlinear-nn,937802730800,
nr-solver,108679146800,
parrando,475278329200,
rad-to-degree,1148810118800,
shortest-path,19143054800,
string-search,26960190800,
tea-cipher,3368150000,
triangle-count,11821277200,
