Benchmarks,se-ext-hash-3,se-ext-hash-1
bubble-sort,249512268800,163195956800
distinctness,7790136800,5160972800
edit-distance,148042628000,128155545600
eulers-number-approx,361297734800,241264146800
fft-int,273458855200,199401060800
flood-fill,1862574800,1751564000
gradient-descent,433583136800,433336829200
kadane,8322306800,4620942800
kepler-calc,10236558800,9715362800
lda,12391365600,12294579600
mersenne,169972974000,163895790800
minspan,23473086800,16690110800
nonlinear-nn,935859966800,934927958000
nr-solver,97118873200,95318808800
parrando,258214620800,165579473200
rad-to-degree,1143822858800,1143048894800
shortest-path,15311172800,12851130800
string-search,26170115200,24042194000
string-search-optimized,21312684800,15865754000
tea-cipher,2544606400,2133156800
triangle-count,21921090800,22016550800
