Benchmarks,Committed Insts,Committed Insts Tainted,Committed Loads,Simulated Total Ops,Simulated SE ALU Operations,Simulated SE Encryptions,Simulated SE Decryptions
bubble-sort,8294945,1019800,2946340,16631165,1209776,84000,201807
distinctness,17852767,10015163,12390738,43133503,12021130,402059,2003041
edit-distance,349981359,139825000,215029292,804812392,182576472,5150005,26150038
eulers-number-approx,902125260,300000180,512671,1803710732,300000120,0,120
flood-fill,3718438,346272,1566009,7448099,431604,55251,111941
fft-int,611034602,191807036,306012127,1343827238,230955968,8910568,34398459
gradient-descent,1073412425,750001460,1074595704,2843783226,588000312,1000524,214000624
kadane,13239361,8289440,8571975,32061056,10811419,182367,1442860
kepler-calc,3370153,316330,1219760,6534456,316091,34836,72387
lda,2378821,8562,602094,4227800,11400,1779,3615
mersenne,448629773,25628935,143512240,899892443,26188381,2438142,7001142
minspan,32646621,17145180,29540358,89345079,18416794,1075220,4566321
mnist-cnn,228612983,106625524,344696523,785417554,71427706,3620475,64597608
nonlinear-nn,1068877814,4200000,280948173,2060398081,7500046,400023,1300000
nr-solver,5961961,556060,2554913,12283067,508568,81514,152020
parrando,498932474,309067295,373514183,1260902612,392132229,11006044,54013116
rad-to-degree,1297161512,1516200,346494124,2501844292,1624500,216600,324900
shortest-path,33946021,4928448,14857760,72876816,5824485,288128,1312128
string-search,48810809,21197551,31854407,118818104,26132715,1800972,3965079
tea-cipher,5012923,717026,1172736,8814954,717536,9022,20037
triangle-count,23507346,10320000,35235914,80613118,9899500,2619500,4823500
