Benchmarks,Committed Insts,Committed Insts Tainted,Committed Loads,Simulated Total Ops,Simulated SE ALU Operations,Simulated SE Encryptions,Simulated SE Decryptions
bubble-sort,8290745,1019800,2088919,15769544,1209766,84000,201807
distinctness,17860767,10017163,5181422,35932171,12020665,403043,2004041
edit-distance,335231359,139725000,105204126,679637183,173726482,5100000,25950000
eulers-number-approx,902125260,300000180,512311,1803710372,300000060,0,120
flood-fill,3707702,346676,1059133,6937024,420329,57379,110358
fft-int,600514602,191043036,170028834,1196712733,230584723,8650782,33752033
gradient-descent,1073412318,750001460,429592260,2198779569,588000312,1000524,214000624
kadane,13243861,8290440,3699293,27192873,10812147,182866,1443360
kepler-calc,3319373,296435,839232,6061224,322547,21143,59101
lda,2377686,8176,583443,4206254,11928,1212,2583
mersenne,448173781,25674935,116691927,875112187,26293929,2937645,7501178
minspan,32701340,17155180,12651101,72521165,18405768,1090722,4566320
mnist-cnn,227547424,106625907,139242550,579161631,71757817,3619196,64601650
nonlinear-nn,1071677809,4300000,276948084,2060997952,6400050,700000,1200000
nr-solver,5940971,506060,1754806,11312465,487068,82009,132020
parrando,587936466,327064297,226457707,1233851131,384130756,24005050,60013113
rad-to-degree,1297161512,1516200,344869624,2500219792,1191300,216600,324900
shortest-path,33754021,4928448,9960992,67884048,5824485,288128,1312128
string-search,44166624,19642591,11950837,91058355,26124755,1023492,3187599
tea-cipher,4986419,717026,1075553,8705260,714536,11017,20037
triangle-count,23515336,10323500,12911915,58302600,9900500,2621501,4824000
