Benchmarks,EncIntAlu,EncIntDiv,EncIntMult,EncFPALU,EncFloatMult,EncFloatMultAcc,EncFloatDiv,EncFloatMisc,EncFloatSqrt,EncSIMDInst
bubble-sort,646176,0,0,0,0,0,0,0,0,563600
distinctness,7610508,0,0,0,0,0,0,0,0,4410622
edit-distance,109951504,0,0,0,0,0,0,0,0,72624968
eulers-number-approx,60,0,0,0,0,0,0,0,0,300000060
flood-fill,268876,0,0,0,0,0,0,0,0,162728
fft-int,117794444,0,4096000,0,0,0,0,0,0,109065524
gradient-descent,106000000,0,0,0,0,0,0,0,0,482000312
kadane,5582839,0,0,0,0,0,0,0,0,5228580
kepler-calc,165686,0,0,0,0,0,0,0,0,150405
lda,7887,0,0,0,0,0,0,0,0,3513
mersenne,19565588,0,1248000,0,0,0,0,0,0,5374793
minspan,10566279,0,0,0,0,0,0,0,0,7850515
mnist-cnn,3462629,0,0,0,0,0,0,0,0,67965077
nonlinear-nn,5700046,0,0,0,0,0,0,0,0,1800000
nr-solver,265058,0,0,0,0,0,0,0,0,243510
parrando,215102943,0,2000000,0,0,0,0,0,0,175029286
rad-to-degree,866400,0,0,0,0,0,0,0,0,758100
shortest-path,3328165,0,0,0,0,0,0,0,0,2496320
string-search,18207424,0,0,0,0,0,0,0,0,7925291
tea-cipher,681028,0,0,0,0,0,0,0,0,36508
triangle-count,6599500,0,2197500,0,0,0,0,0,0,1102500
